?cls	?xref
<http://purl.obolibrary.org/obo/ENVO_00000063>	"SWEETRealm:BodyOfWater"
<http://purl.obolibrary.org/obo/ENVO_00000063>	"EcoLexicon:waterbody"
<http://purl.obolibrary.org/obo/ENVO_00000063>	"TGN:21101"
<http://purl.obolibrary.org/obo/ENVO_00000063>	"FTT:827"
<http://purl.obolibrary.org/obo/ENVO_00000063>	"https://en.wikipedia.org/wiki/Water_body"
<http://purl.obolibrary.org/obo/ENVO_00000063>	"TGN:21100"
<http://purl.obolibrary.org/obo/ENVO_01000250>	"LTER:72"
<http://purl.obolibrary.org/obo/ENVO_01000250>	"SPIRE:Taiga"
<http://purl.obolibrary.org/obo/ENVO_01000250>	"EcoLexicon:taiga"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"TGN:21641"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"TGN:21632"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"TGN:21631"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"FTT:1083"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"Geonames:V.GRVPN"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"SWEETRealm:Break"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"FTT:719"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"LTER:503"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"SWEETRealm:Scrub"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"FTT:506"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"FTT:505"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"FTT:774"
<http://purl.obolibrary.org/obo/ENVO_00000109>	"https://en.wikipedia.org/wiki/Woodland"
<http://purl.obolibrary.org/obo/ENVO_01001110>	"LTER:173"
<http://purl.obolibrary.org/obo/ENVO_00002982>	"EcoLexicon:clay"
<http://purl.obolibrary.org/obo/ENVO_00002982>	"SWEETRealm:Clay"
<http://purl.obolibrary.org/obo/PO_0025128>	"PO_GIT:466"
<http://purl.obolibrary.org/obo/ENVO_00002169>	"https://en.wikipedia.org/wiki/Coal_mine"
<http://purl.obolibrary.org/obo/ENVO_00002040>	"SWEETRealm:Wood"
<http://purl.obolibrary.org/obo/ENVO_00002040>	"LTER:637"
<http://purl.obolibrary.org/obo/ENVO_00002040>	"EcoLexicon:wood"
<http://purl.obolibrary.org/obo/ENVO_00002040>	"https://en.wikipedia.org/wiki/Wood"
<http://purl.obolibrary.org/obo/ENVO_01000005>	"https://en.wikipedia.org/wiki/Upwelling"
<http://purl.obolibrary.org/obo/ENVO_01000005>	"EcoLexicon:upwelling"
<http://purl.obolibrary.org/obo/ENVO_01000005>	"SWEETRealm:Upwelling"
